epoch,stage,train_loss,train_x_loss,train_z_loss,train_alt_x_loss,train_x_constraint_loss,eval_loss,eval_x_loss,eval_z_loss,eval_alt_x_loss
1,stage1_anchor_warmup,942.5990083643692,819.6100050487446,25.121826931550927,26.404992816112795,0.0,467.70432826450894,84.15855843680245,5.994001456669399,461.71033150809154
10,stage1_anchor_warmup,9.790951772334457,4.5346236577958665,3.4055488082392587,0.506325689388772,0.0,59.99900000435965,3.3702076503208707,3.0974667072296143,56.90153285435268
20,stage1_anchor_warmup,5.555991521806318,3.185909592606722,1.5935895660530932,0.2804751035265143,0.0,44.49145017351423,2.4159442016056607,1.6803037439073836,42.81114687238421
30,stage1_anchor_warmup,4.307176437668021,2.5922714179459634,1.1177529352699396,0.25332369304088587,0.0,43.797467367989675,1.9002315657479423,1.1360338074820382,42.66143362862723
40,stage1_anchor_warmup,4.115006819424067,2.6392690179012575,0.87529395311051,0.29023561544518056,0.0,52.954869406563894,1.3466642584119524,0.8575860347066607,52.097282954624724
50,stage1_anchor_warmup,2.6096626370578666,1.5800281613498586,0.6383706483097584,0.16172040279373923,0.0,17.35187544141497,1.369520800454276,0.6205996956144061,16.731275694710867
51,stage2_joint_transport,5.704472036416086,4.715414941310883,0.7696400876280926,0.21941697736316762,0.0,17.14270223890032,0.7717854380607605,0.5761979648045131,16.566503933497838
70,stage2_joint_transport,0.6936418110426841,0.3191057896886035,0.2827414446457257,0.09179457975374429,0.0,16.804660388401576,1.2467099853924342,0.2721446135214397,16.532515662057058
90,stage2_joint_transport,0.5373283464872338,0.24140446363973073,0.21508234263372966,0.08084154177187967,0.0,11.096934999738421,1.0835206721510207,0.19156775304249354,10.905367170061384
100,stage2_joint_transport,0.49459866108549866,0.22206199758406375,0.19465107756875766,0.07788558548649227,0.0,19.787934167044504,0.6756971265588488,0.1687969778265272,19.619136810302734
101,stage3_decoder_response_mass_protected,0.6341245668469273,0.38509804673294606,0.19599845841130376,0.08669844370321175,0.0,13.836241040910993,0.8261079064437321,0.172874601823943,13.6633665902274
120,stage3_decoder_response_mass_protected,0.4341842628477191,0.19782659819370893,0.17558815729708727,0.06688988215853053,0.0,12.86770500455584,0.5563044462885175,0.15048934306417192,12.717215946742467
140,stage3_decoder_response_mass_protected,0.4103999107282878,0.18437946856928417,0.1630222087463952,0.06658275061403844,0.0,14.338314192635673,0.6089159846305847,0.14742161333560944,14.190892492021833
150,stage3_decoder_response_mass_protected,0.40429589798241966,0.17858038174108862,0.16016889216215438,0.06750846574854942,0.0,14.26931517464774,1.2159496247768402,0.14630340678351267,14.123011657169886
151,stage4_encoder_distribution_polish,0.822853959105314,0.19182908132728968,0.15775621914704943,0.0,0.0,16.92135729108538,0.8022041746548244,0.1359949835709163,16.785362107413157
160,stage4_encoder_distribution_polish,0.8117420070524904,0.18714328563485308,0.15614967991530668,0.0,0.0,15.941291672842842,0.7787629621369498,0.13491385536534445,15.806377751486641
170,stage4_encoder_distribution_polish,0.8028054577316168,0.18640257066873542,0.1541007214965929,0.0,0.0,17.84891278403146,1.038276731967926,0.13383024505206517,17.715082713535853
180,stage4_encoder_distribution_polish,0.7984375364426878,0.1842159703657201,0.15355539112263306,0.0,0.0,12.059531348092216,1.014970668724605,0.13237220155341284,11.927159173148018
190,stage4_encoder_distribution_polish,0.784998571238137,0.1839033240034553,0.1502738123044315,0.0,0.0,11.102058955601283,0.8207211494445801,0.13654204245124543,10.965516907828194
200,stage4_encoder_distribution_polish,0.789189540388013,0.1831504595483664,0.15150977025240547,0.0,0.0,9.083391870771136,0.9993336754185813,0.13547839224338531,8.947913442339216
201,stage5_z_cycle_inverse_polish_gentle,1.929003877784816,0.009173370328474659,0.6026506216580424,,,1.7560815811157227,0.01898723468184471,0.527632977281298,
210,stage5_z_cycle_inverse_polish_gentle,1.5360033788608507,0.09140145271563258,0.4629290027990087,,,1.4835008212498255,0.09415914863348007,0.43267947009631563,
220,stage5_z_cycle_inverse_polish_gentle,1.3812084034821832,0.1270134627195819,0.4037824438551986,,,1.3116035631724767,0.12617034784385137,0.3658455950873239,
230,stage5_z_cycle_inverse_polish_gentle,1.2845000903416042,0.13829187912859392,0.37001138540275197,,,1.2075766324996948,0.13853806470121657,0.3282798784119742,
240,stage5_z_cycle_inverse_polish_gentle,1.1980832719984162,0.14126225076474164,0.3388432520424005,,,1.1474991185324532,0.14162729680538177,0.30990512881960186,
