epoch,stage,train_loss,train_x_loss,train_z_loss,train_alt_x_loss,train_x_constraint_loss,eval_loss,eval_x_loss,eval_z_loss,eval_alt_x_loss
1,stage1_anchor_warmup,757.7300971723781,629.4183778073851,28.609388043218694,33.39843649555975,0.0,651.9404296875,57.667656489780974,8.898820877075195,643.0416172572544
10,stage1_anchor_warmup,16.769188326121284,4.761205389925736,5.1786701325681275,0.9417769632412001,0.0,97.86599949428013,2.8318495409829274,5.036288057054792,92.8297119140625
20,stage1_anchor_warmup,8.287669526306848,2.8779893746394167,3.223132210539321,0.5386214776977387,0.0,65.61280550275531,1.6903975520815169,3.151481424059187,62.46132332938058
30,stage1_anchor_warmup,5.019611785620338,2.1592498165573004,1.7407329640007745,0.3866984358078627,0.0,49.397804260253906,1.4837400572640556,1.68106552532741,47.71673856462751
40,stage1_anchor_warmup,3.7088494128600726,1.744609426182939,1.1916026973905671,0.28078824496994453,0.0,42.55177961077009,2.1632846082959856,1.1908647332872664,41.36091504778181
50,stage1_anchor_warmup,3.0378943831295113,1.5177546861960407,0.8771800960878002,0.24718308519614512,0.0,39.18837710789272,1.2680350542068481,0.846685699054173,38.34169142586844
51,stage2_joint_transport,3.792784604736154,2.5976255955351624,0.8653496050562696,0.3298094066943506,0.0,43.987519945417134,0.7655052542686462,0.8056055222238813,43.181915283203125
70,stage2_joint_transport,1.2444409231722582,0.5369818166408249,0.5373193823339368,0.17013971952317786,0.0,39.969666072300505,0.6473454577582223,0.5638293623924255,39.405836377825054
90,stage2_joint_transport,1.0307291802797933,0.43797906224718564,0.44514925806241346,0.14760085946026863,0.0,33.08058602469308,0.5780713047300067,0.4608634667737143,32.61972263881138
100,stage2_joint_transport,0.9877683014924082,0.4177191283539674,0.4227077648213608,0.14734140996017384,0.0,26.426555633544922,0.5636275921549115,0.4186761804989406,26.007879529680526
101,stage3_decoder_response_mass_protected,1.001768031274411,0.459547576002295,0.4201751444276295,0.14263654573901977,0.0,32.76298032488142,0.5661771297454834,0.4276047348976135,32.33537564958845
120,stage3_decoder_response_mass_protected,0.8929397427537142,0.41059753174110963,0.3855068484186673,0.11930324233530139,0.0,28.41198812212263,0.5093987498964582,0.3845829793385097,28.02740560259138
140,stage3_decoder_response_mass_protected,0.8609607104112893,0.39662912771275743,0.3675797248521232,0.11738511693341651,0.0,29.321713583809988,0.6576651845659528,0.3655100677694593,28.95620346069336
150,stage3_decoder_response_mass_protected,0.8409729980697197,0.38990898673978597,0.3610287359685499,0.11201137780236654,0.0,37.166211809430806,0.7477822729519435,0.3804259853703635,36.78578622000558
151,stage4_encoder_distribution_polish,1.8148739215538983,0.4172424088186184,0.3494078786654164,0.0,0.0,25.092797143118723,0.6075770386627742,0.3413196802139282,24.751477650233678
160,stage4_encoder_distribution_polish,1.7903333526147183,0.4315405656856276,0.33969819693057707,0.0,0.0,26.701727730887278,0.6833544799259731,0.3523098570959909,26.34941782270159
170,stage4_encoder_distribution_polish,1.7831451738741915,0.43127210523239107,0.3379682670754625,0.0,0.0,26.716000693184988,0.6466339911733355,0.3161287520612989,26.399872098650253
180,stage4_encoder_distribution_polish,1.7619510544570227,0.4335720319258396,0.33209475500955327,0.0,0.0,30.98391832624163,0.5708841638905662,0.34916227204459055,30.63475581577846
190,stage4_encoder_distribution_polish,1.7704492539960621,0.432290425205412,0.3345397078492342,0.0,0.0,30.69728033883231,0.592803737946919,0.33956378698349,30.357716969081334
200,stage4_encoder_distribution_polish,1.7721482479073702,0.434723298245963,0.33435623784028984,0.0,0.0,27.495065416608536,0.6426013367516654,0.31521775892802645,27.179847989763534
201,stage5_z_cycle_inverse_polish_gentle,1.5483010875861454,0.028763781960441877,0.5802777299636217,,,1.4725956405912126,0.04885369060294969,0.5310417626585279,
210,stage5_z_cycle_inverse_polish_gentle,1.2365517743186805,0.11156385049167242,0.4104902557320468,,,1.1870243379047938,0.11308540936027255,0.382098274571555,
220,stage5_z_cycle_inverse_polish_gentle,1.1160794093128392,0.12338012536215691,0.3536607454258226,,,1.0609948294503349,0.12429590203932353,0.32035816993032185,
230,stage5_z_cycle_inverse_polish_gentle,1.019152688436182,0.13033492047297185,0.31055634941891574,,,1.000914760998317,0.13187829298632486,0.2960298103945596,
240,stage5_z_cycle_inverse_polish_gentle,0.9401255676048337,0.12111206451862937,0.2863220539043158,,,0.8872235502515521,0.1202102495091302,0.2560144875730787,
